id_dataset_historique_seance_exercice,age,sexe,poids_kg,taille_cm,bpm_max,bpm_moyen,bpm_repos,duree_seance_minutes,calories_brulees,type_sport,pourcentage_gras,consommation_eau_ml,frequence_sport_jour_semaine,niveau_experience
9936,45,F,44.5,165,162,148,71,86.4,959.0,Yoga,30.7,1600.0,3,1
9937,42,F,50.7,175,163,162,51,77.4,940.0,Strength,29.0,1900.0,3,2
9938,40,F,55.1,161,184,158,64,93.0,1224.0,Yoga,16.9,2700.0,4,3
9939,48,M,73.7,161,172,121,63,81.6,815.0,Cardio,21.8,3600.0,4,2
9940,47,M,55.6,177,198,138,68,72.0,820.0,Cardio,24.3,2900.0,4,2
9941,59,M,86.9,176,194,123,60,67.8,688.0,Strength,29.8,3100.0,3,2
9942,52,F,60.3,168,182,125,64,96.0,900.0,Strength,16.5,2700.0,4,3
9943,24,F,40.4,164,168,168,55,59.4,832.0,HIIT,31.0,1900.0,2,1
9944,33,F,78.5,166,161,156,69,77.4,1006.0,HIIT,32.8,1900.0,4,2
9945,43,M,102.6,172,190,147,58,49.2,597.0,Strength,27.5,2000.0,2,1
9946,19,M,110.8,191,161,149,54,78.6,1074.0,Strength,23.3,2900.0,2,1
9947,18,F,60.9,179,191,126,69,66.6,699.0,Cardio,31.1,2100.0,2,1
9948,29,M,55.7,161,177,128,51,84.6,993.0,Strength,28.7,2300.0,3,1
9949,22,M,110.5,192,172,144,55,69.6,919.0,HIIT,20.2,3300.0,3,2
9950,54,M,55.2,171,164,152,67,46.2,579.0,Cardio,24.4,2800.0,2,1
9951,49,M,46.5,172,169,120,72,84.0,832.0,Yoga,22.2,2600.0,4,2
9952,26,F,70.9,166,184,125,68,48.6,506.0,HIIT,28.9,1700.0,3,1
9953,58,M,74.6,175,193,137,58,65.4,739.0,HIIT,24.2,2900.0,2,1
9954,52,M,45.1,172,196,129,70,55.8,594.0,Cardio,27.5,3300.0,2,1
9955,36,M,99.9,199,189,147,73,79.8,1075.0,Yoga,20.9,2500.0,3,1
9956,33,M,117.0,161,166,130,55,62.4,744.0,HIIT,25.1,2400.0,3,2
9957,20,F,75.9,173,165,152,63,83.4,1056.0,Strength,30.6,2100.0,4,2
9958,37,F,71.2,164,162,120,73,66.6,666.0,HIIT,29.9,1700.0,3,2
9959,41,M,78.8,172,172,132,62,60.6,660.0,Cardio,27.3,3100.0,4,2
9960,50,M,50.6,169,162,156,60,78.6,1012.0,Cardio,23.8,3000.0,2,1
9961,41,M,82.5,179,185,139,61,101.4,1163.0,Cardio,14.7,3500.0,4,3
9962,28,M,108.5,179,183,120,68,79.8,878.0,HIIT,24.8,2100.0,4,2
9963,25,M,49.9,198,165,122,68,69.0,772.0,Yoga,25.7,2100.0,3,2
9964,53,M,125.1,191,171,137,70,31.2,353.0,Strength,28.3,3100.0,2,1
9965,55,F,79.7,166,195,160,68,63.6,763.0,Cardio,27.8,1900.0,2,1
9966,57,M,126.8,163,161,133,73,57.6,632.0,Yoga,20.8,2100.0,2,1
9967,37,F,54.6,157,170,150,62,78.6,982.0,Strength,32.1,2400.0,3,1
9968,52,F,47.8,154,198,146,63,80.4,880.0,Cardio,29.8,1900.0,3,2
9969,42,M,97.9,191,193,136,73,60.6,680.0,Strength,29.0,2800.0,3,2
9970,52,F,63.1,154,185,165,67,81.6,1010.0,Strength,34.8,1800.0,3,2
9971,42,F,72.4,169,177,148,61,64.2,713.0,Yoga,29.0,2300.0,3,2
9972,46,F,58.9,170,180,155,53,91.2,1060.0,Strength,17.1,2700.0,4,3
9973,35,F,50.4,160,195,156,59,61.8,803.0,Cardio,29.1,1900.0,4,2
9974,35,F,64.2,159,199,145,66,97.8,1182.0,Yoga,16.6,2700.0,5,3
9975,19,F,58.8,177,181,136,53,84.0,952.0,HIIT,32.8,2700.0,2,1
9976,52,M,105.2,162,189,141,61,81.6,949.0,HIIT,27.6,3200.0,3,1
9977,33,F,45.9,150,189,144,62,55.2,662.0,Yoga,29.8,1700.0,3,1
9978,58,F,65.2,163,167,121,53,67.2,610.0,HIIT,25.4,2000.0,3,2
9979,53,F,56.3,179,193,141,59,91.2,964.0,Strength,16.5,2700.0,5,3
9980,50,M,90.0,170,168,124,74,48.6,497.0,Cardio,22.9,2700.0,2,1
9981,21,F,60.0,170,179,123,52,118.2,1212.0,Strength,19.1,2700.0,5,3
9982,50,M,51.5,171,199,155,64,88.8,1136.0,Yoga,20.9,2900.0,2,1
9983,31,F,63.1,164,184,125,51,92.4,962.0,Cardio,19.0,2700.0,4,3
9984,38,M,91.5,177,178,140,74,48.0,616.0,Yoga,26.7,3400.0,2,1
9985,37,M,48.7,167,164,132,74,83.4,1009.0,Yoga,27.3,3000.0,2,1
9986,25,F,57.8,156,170,156,66,81.0,1053.0,Yoga,29.3,1600.0,3,2
9987,24,F,42.0,175,174,144,55,49.8,598.0,Strength,31.8,2300.0,3,1
9988,20,M,128.4,192,167,145,57,37.8,502.0,Cardio,26.1,2000.0,2,1
9989,34,F,74.2,157,178,158,52,88.2,1161.0,Cardio,32.7,2400.0,3,1
9990,50,M,89.6,168,182,139,74,107.4,1232.0,Cardio,12.2,3500.0,5,3
9991,29,M,125.9,200,186,152,67,81.6,1137.0,Strength,24.7,3100.0,4,2
9992,39,M,105.5,199,199,133,71,48.6,593.0,HIIT,26.4,2500.0,2,1
9993,39,M,93.4,170,191,155,50,66.0,938.0,Strength,21.1,2500.0,4,2
9994,47,M,82.1,184,185,136,65,82.2,922.0,Strength,24.4,3400.0,4,2
9995,55,F,42.9,169,186,140,56,54.0,567.0,Yoga,34.7,2400.0,2,1
9996,55,M,128.4,168,178,165,52,67.8,923.0,Cardio,20.4,2600.0,4,2
9997,25,M,112.4,196,188,135,72,85.2,1054.0,Cardio,23.2,2500.0,2,1
9998,44,F,77.7,179,198,165,53,84.6,1047.0,HIIT,28.1,2200.0,3,1
9999,44,M,89.3,199,192,135,58,84.0,936.0,HIIT,26.3,2000.0,4,2
10000,51,F,70.3,155,178,139,54,84.0,876.0,Yoga,26.1,1600.0,3,1
10001,38,F,59.1,172,196,148,68,64.2,792.0,Cardio,31.3,1700.0,3,2
10002,47,F,49.9,169,178,147,64,88.8,979.0,HIIT,26.0,1700.0,3,2
10003,50,M,101.7,167,192,127,57,31.8,333.0,HIIT,20.9,2900.0,2,1
10004,45,M,93.0,191,175,143,55,61.8,729.0,Cardio,27.3,3700.0,3,2
10005,50,M,87.4,160,182,122,67,46.2,465.0,Strength,23.2,3100.0,2,1
10006,22,F,55.1,161,166,144,68,97.2,1166.0,HIIT,19.9,2700.0,4,3
10007,36,M,123.7,169,185,138,73,78.0,987.0,Cardio,20.4,2100.0,4,2
10008,21,F,61.3,157,191,152,64,116.4,1474.0,HIIT,17.2,2700.0,4,3
10009,52,M,72.3,194,171,121,56,87.6,874.0,Yoga,21.1,2900.0,3,2
10010,34,F,69.2,153,167,134,59,81.6,911.0,HIIT,28.5,2100.0,2,1
10011,45,M,81.4,161,164,141,55,68.4,796.0,Cardio,30.0,2200.0,4,2
10012,47,M,84.8,186,187,129,63,111.0,1181.0,HIIT,14.4,3500.0,5,3
10013,46,M,55.1,172,164,137,66,85.8,970.0,Yoga,20.5,3600.0,3,2
10014,23,F,59.0,178,185,141,58,100.2,1177.0,Yoga,17.8,2700.0,5,3
10015,52,F,64.9,151,164,165,68,109.8,1359.0,HIIT,18.2,2700.0,4,3
10016,58,M,109.7,175,181,168,54,60.6,840.0,HIIT,22.1,2700.0,2,1
10017,54,M,78.4,190,174,146,72,48.6,585.0,Yoga,21.5,3700.0,2,1
10018,41,F,76.7,179,172,132,56,84.0,832.0,Yoga,34.0,2000.0,4,2
10019,46,F,63.1,161,187,152,68,60.0,684.0,Strength,34.7,2200.0,4,2
10020,48,F,62.9,158,192,124,69,118.8,1105.0,Strength,20.0,2700.0,4,3
10021,52,M,85.6,174,182,145,56,110.4,1321.0,Yoga,13.9,3500.0,4,3
10022,50,F,66.3,157,192,132,73,75.0,742.0,HIIT,31.6,1600.0,2,1
10023,38,M,61.3,197,177,146,51,82.2,1100.0,Cardio,23.5,2800.0,3,1
10024,49,F,44.1,165,189,133,74,69.6,694.0,HIIT,26.7,1800.0,4,2
10025,40,M,63.8,162,185,143,72,78.0,1022.0,HIIT,20.8,3400.0,2,1
10026,50,F,55.4,155,175,122,65,111.0,1016.0,Strength,18.5,2700.0,4,3
10027,20,F,74.7,158,172,166,62,62.4,863.0,Strength,32.8,2400.0,3,2
10028,35,F,78.0,167,198,168,57,67.8,949.0,Strength,33.3,2500.0,4,2
10029,42,F,57.5,167,192,149,55,68.4,764.0,Yoga,34.1,2400.0,2,1
10030,59,F,60.7,173,185,154,55,61.8,714.0,Yoga,33.8,2500.0,3,2
10031,48,M,69.0,174,160,167,58,88.8,1223.0,HIIT,30.0,2300.0,3,2
10032,20,F,75.8,178,197,133,53,85.2,944.0,HIIT,27.4,2000.0,4,2
10033,57,F,75.7,163,161,131,60,41.4,407.0,Cardio,32.6,2300.0,3,1
10034,41,F,71.2,164,165,147,54,85.2,939.0,HIIT,30.9,2300.0,3,2
10035,49,M,85.0,168,197,163,74,109.2,1468.0,HIIT,11.3,3500.0,4,3
10036,39,F,63.6,156,183,148,66,73.2,903.0,Strength,34.8,2400.0,2,1
10037,40,M,73.2,194,177,162,69,48.6,722.0,Strength,29.0,2400.0,2,1
10038,19,F,48.3,152,186,136,56,57.6,653.0,Strength,26.3,1600.0,2,1
10039,44,F,42.8,178,167,159,64,89.4,1066.0,Strength,25.3,2600.0,3,2
10040,59,M,88.1,176,187,168,74,81.0,1123.0,Strength,26.9,3000.0,3,2
10041,19,F,72.4,175,169,140,64,72.0,840.0,Cardio,31.0,1700.0,4,2
10042,43,M,73.2,188,176,142,63,70.2,822.0,Cardio,29.4,3300.0,3,1
10043,34,M,110.5,186,188,139,62,85.2,1086.0,Cardio,22.3,3600.0,2,1
10044,57,F,46.1,176,165,130,60,86.4,842.0,Strength,25.8,1700.0,3,2
10045,50,M,90.8,171,173,153,62,64.2,810.0,Yoga,22.6,3400.0,4,2
10046,26,F,59.3,151,181,129,71,102.0,1096.0,Strength,15.1,2700.0,5,3
10047,56,F,45.1,173,165,129,73,49.8,482.0,Strength,25.4,2600.0,3,1
10048,46,M,45.0,177,185,162,58,88.8,1187.0,Cardio,29.1,3600.0,3,2
10049,59,M,89.4,162,198,125,59,85.8,885.0,Strength,23.5,3600.0,3,2
10050,43,M,127.7,169,171,155,53,68.4,875.0,Cardio,24.1,2900.0,3,2
10051,52,M,70.9,172,194,143,66,78.6,927.0,Strength,20.2,2600.0,3,2
10052,42,F,49.2,150,173,131,63,69.0,678.0,HIIT,27.7,1500.0,3,2
10053,41,F,62.3,179,181,162,73,119.4,1451.0,Yoga,19.0,2700.0,5,3
10054,30,M,64.1,187,182,142,67,38.4,500.0,Yoga,26.2,2100.0,2,1
10055,24,F,69.7,175,166,146,60,84.6,1029.0,Cardio,32.5,2000.0,3,1
10056,53,F,56.9,159,199,164,65,89.4,1100.0,HIIT,29.5,2000.0,3,2
10057,37,F,53.0,171,184,156,50,67.8,881.0,Yoga,28.1,1700.0,4,2
10058,18,F,72.7,155,172,125,56,50.4,525.0,Cardio,29.8,2000.0,3,1
10059,25,M,76.5,196,180,120,59,40.2,442.0,Strength,23.2,2300.0,3,1
10060,33,M,113.6,199,169,125,58,82.8,949.0,Strength,28.4,3400.0,2,1
10061,31,F,62.5,162,168,169,74,93.6,1318.0,HIIT,16.5,2700.0,4,3
10062,29,M,95.2,186,174,141,52,38.4,496.0,Yoga,26.6,2500.0,2,1
10063,40,M,51.7,182,161,160,71,54.0,792.0,Strength,21.4,3000.0,3,1
10064,32,M,105.3,167,184,143,72,34.2,448.0,Cardio,26.9,2900.0,3,1
10065,45,F,71.2,168,172,144,63,82.2,888.0,Strength,34.1,1600.0,3,1
10066,51,F,78.1,151,193,134,74,55.2,555.0,Strength,31.1,2600.0,3,1
10067,19,F,50.6,168,193,145,64,72.6,877.0,Yoga,30.6,2100.0,3,2
10068,49,M,70.2,189,194,127,51,42.0,440.0,Yoga,29.6,2600.0,3,1
10069,40,F,62.6,153,197,143,73,115.8,1380.0,Cardio,18.1,2700.0,5,3
10070,39,F,60.6,165,162,167,63,55.2,768.0,HIIT,27.6,1700.0,3,1
10071,42,M,76.4,197,165,157,65,68.4,886.0,HIIT,22.9,2600.0,3,2
10072,39,F,63.3,171,178,125,56,112.8,1175.0,Strength,18.5,2700.0,4,3
10073,39,F,68.6,164,162,154,53,79.8,1024.0,Cardio,32.4,1500.0,3,2
10074,59,M,123.3,188,177,161,67,78.0,1036.0,HIIT,23.0,2600.0,4,2
10075,23,M,107.0,194,198,120,73,81.0,891.0,HIIT,23.5,2900.0,2,1
10076,32,M,68.3,192,168,165,54,85.2,1289.0,Strength,29.9,3500.0,2,1
10077,54,F,47.8,160,171,155,55,71.4,830.0,Cardio,26.0,2300.0,4,2
10078,50,F,58.4,179,164,131,56,96.0,943.0,HIIT,17.0,2700.0,4,3
10079,25,F,74.3,171,162,157,64,85.8,1123.0,Yoga,25.6,1600.0,3,2
10080,22,M,106.8,182,170,130,50,60.0,715.0,Yoga,28.2,2300.0,4,2
10081,56,M,125.5,180,189,131,73,75.6,817.0,Strength,20.9,2700.0,4,2
10082,21,F,55.2,155,163,161,53,82.2,1103.0,Strength,31.7,1700.0,4,2
10083,23,F,71.4,172,164,169,74,75.0,1056.0,Strength,25.6,1500.0,2,1
10084,49,M,77.7,161,160,158,50,61.8,806.0,Strength,26.7,3400.0,3,2
10085,47,M,88.4,160,186,126,60,111.6,1160.0,HIIT,14.2,3500.0,5,3
10086,52,M,104.8,199,187,130,67,55.8,598.0,Cardio,24.0,2000.0,2,1
10087,57,M,82.2,169,188,155,63,69.0,882.0,Strength,25.2,3400.0,4,2
10088,33,F,68.2,175,177,150,71,51.0,638.0,Strength,29.0,1700.0,2,1
10089,30,M,91.4,199,171,152,60,82.2,1145.0,HIIT,23.0,3700.0,3,2
10090,59,F,42.1,165,172,132,59,73.2,725.0,Strength,33.0,2200.0,2,1
10091,47,F,68.7,176,161,137,66,82.2,845.0,Strength,27.7,2400.0,3,2
10092,36,F,47.2,174,196,160,53,90.0,1200.0,Cardio,32.2,1600.0,4,2
10093,34,M,92.0,176,175,143,73,43.8,574.0,Yoga,22.1,3500.0,3,1
10094,36,M,56.2,195,183,128,64,65.4,767.0,Strength,22.5,3400.0,4,2
10095,45,M,58.4,172,194,150,65,78.6,973.0,HIIT,23.4,3100.0,4,2
10096,43,M,82.9,195,181,160,70,114.0,1505.0,Cardio,12.9,3500.0,5,3
10097,54,F,66.9,174,195,129,62,74.4,720.0,HIIT,29.5,2100.0,2,1
10098,43,M,66.3,185,170,121,58,70.8,707.0,Cardio,27.5,3200.0,2,1
10099,40,M,93.6,193,188,157,60,82.8,1192.0,Cardio,22.1,2000.0,3,1
10100,26,F,64.1,150,194,134,60,115.8,1293.0,Strength,15.1,2700.0,5,3
10101,29,M,86.7,162,174,122,55,91.2,1020.0,Strength,13.9,3500.0,4,3
10102,18,F,62.0,159,190,162,50,73.8,996.0,Strength,33.2,2200.0,4,2
10103,18,F,58.1,161,175,150,71,114.0,1425.0,Yoga,15.3,2700.0,4,3
10104,51,F,64.9,160,169,125,55,89.4,838.0,Yoga,31.1,2500.0,4,2
10105,49,F,69.3,162,191,122,62,68.4,626.0,HIIT,28.8,1900.0,4,2
10106,42,F,42.7,174,161,130,71,62.4,608.0,Strength,32.9,1600.0,3,1
10107,57,F,51.4,163,183,134,73,72.0,724.0,Yoga,33.7,2000.0,4,2
10108,18,F,67.4,160,182,164,71,36.0,492.0,Strength,33.5,2400.0,3,1
10109,33,F,55.6,161,161,147,54,106.2,1301.0,Yoga,18.9,2700.0,4,3
10110,56,M,125.3,186,197,129,64,60.0,639.0,Yoga,22.7,2200.0,3,2
10111,22,M,102.1,185,190,157,67,88.8,1278.0,Cardio,28.1,2400.0,4,2
10112,39,M,61.9,177,199,166,69,79.2,1205.0,Strength,25.3,2300.0,3,1
10113,46,M,108.8,164,185,169,63,84.0,1171.0,Strength,20.5,3400.0,3,1
10114,20,F,51.1,158,188,169,64,30.0,422.0,Yoga,29.6,1600.0,2,1
10115,29,M,81.7,199,162,126,54,87.0,1005.0,Strength,29.4,3200.0,2,1
10116,43,F,42.7,166,173,134,53,43.8,440.0,Yoga,33.9,1900.0,2,1
10117,33,M,81.8,199,184,137,51,95.4,1198.0,Strength,10.5,3500.0,4,3
10118,54,M,54.6,176,160,137,56,76.8,868.0,Cardio,27.4,3300.0,4,2
10119,39,M,107.7,188,162,160,59,43.2,634.0,Strength,28.1,3600.0,2,1
10120,46,F,56.9,160,185,143,65,52.8,566.0,Cardio,27.7,1600.0,3,1
10121,31,M,78.8,171,177,121,59,89.4,992.0,HIIT,24.7,2500.0,4,2
10122,45,F,48.2,164,168,159,67,75.0,894.0,Strength,32.1,2500.0,4,2
10123,22,F,50.7,159,197,139,66,76.2,883.0,Strength,29.4,1800.0,3,2
10124,47,M,86.6,199,182,153,70,118.8,1500.0,Strength,10.6,3500.0,4,3
10125,22,M,96.3,163,180,162,62,81.0,1203.0,Cardio,27.1,2400.0,4,2
10126,29,M,80.8,198,160,145,50,99.0,1316.0,Strength,14.6,3500.0,5,3
10127,33,F,58.0,153,180,126,50,110.4,1159.0,Strength,18.3,2700.0,5,3
10128,43,M,95.9,185,186,157,64,76.8,995.0,Yoga,27.7,3400.0,2,1
10129,43,F,61.5,158,165,149,50,111.6,1247.0,HIIT,16.8,2700.0,5,3
10130,38,F,40.6,179,195,161,55,37.2,499.0,Cardio,26.8,2700.0,2,1
10131,56,M,82.5,187,187,124,74,90.6,927.0,Yoga,13.2,3500.0,5,3
10132,53,M,105.1,184,176,130,62,41.4,444.0,Cardio,23.3,2900.0,3,1
10133,50,F,58.1,158,199,120,50,115.8,1042.0,Yoga,19.3,2700.0,5,3
10134,47,F,61.0,176,162,153,54,92.4,1060.0,HIIT,15.6,2700.0,5,3
10135,54,F,64.5,153,171,120,58,104.4,940.0,Yoga,17.2,2700.0,4,3
10136,40,M,58.2,198,198,138,74,85.8,1085.0,Cardio,24.0,2500.0,3,2
10137,27,F,69.5,176,171,121,66,56.4,569.0,Strength,34.4,2000.0,3,1
10138,22,M,62.2,184,161,140,65,30.6,393.0,Strength,21.5,2300.0,3,1
10139,53,F,68.0,170,181,139,57,63.6,663.0,HIIT,25.1,2400.0,4,2
10140,51,F,56.3,150,182,142,66,85.8,914.0,Cardio,27.4,2400.0,3,1
10141,48,M,94.5,170,189,140,64,60.6,700.0,Cardio,28.2,3500.0,3,2
10142,27,F,58.0,179,164,143,73,83.4,994.0,Cardio,27.1,1500.0,2,1
10143,36,M,84.0,194,168,123,50,108.0,1218.0,HIIT,11.2,3500.0,5,3
10144,49,M,61.0,187,180,131,61,68.4,739.0,Strength,21.3,3000.0,4,2
10145,18,F,64.8,153,170,141,54,118.8,1396.0,Yoga,18.6,2700.0,5,3
10146,22,M,45.7,177,164,139,73,62.4,795.0,HIIT,20.7,2400.0,3,1
10147,21,M,80.9,190,194,137,55,108.0,1356.0,Yoga,11.7,3500.0,4,3
10148,33,F,64.1,163,186,120,74,94.8,948.0,Strength,16.4,2700.0,5,3
10149,41,M,67.0,177,161,149,50,73.2,900.0,HIIT,25.6,2600.0,3,2
10150,33,M,106.5,160,183,152,74,84.0,1170.0,Strength,27.3,3300.0,4,2
10151,19,M,95.1,185,190,143,50,72.6,952.0,Yoga,25.3,2300.0,4,2
10152,45,F,65.5,157,192,133,59,39.6,395.0,Cardio,34.3,2300.0,2,1
10153,49,M,105.7,164,198,155,59,72.0,921.0,Cardio,29.5,3100.0,3,2
10154,44,F,48.0,176,189,124,52,52.8,491.0,Yoga,28.6,2600.0,2,1
10155,37,F,69.5,150,196,130,66,41.4,448.0,Cardio,32.8,2400.0,2,1
10156,41,M,66.1,169,187,143,68,46.2,545.0,Yoga,27.4,3400.0,2,1
10231,22,M,98.4,188,194,135,71,31.2,386.0,Cardio,21.3,2200.0,2,1
10232,52,M,66.5,160,185,120,70,80.4,796.0,HIIT,26.8,2100.0,4,2
10233,29,M,106.5,181,177,156,60,77.4,1107.0,Cardio,25.7,2500.0,4,2
10234,42,M,88.4,193,188,158,65,100.8,1314.0,Yoga,12.4,3500.0,4,3
10235,38,M,88.4,179,182,138,68,104.4,1321.0,Yoga,12.5,3500.0,5,3
10236,53,F,53.3,174,173,156,54,82.2,962.0,Strength,32.2,1800.0,3,2
10237,40,F,58.1,156,174,136,63,36.6,415.0,Yoga,34.4,2200.0,2,1
10238,33,F,74.2,176,192,145,66,69.0,834.0,Strength,25.9,1500.0,4,2
10239,56,M,84.6,163,184,141,52,60.6,705.0,HIIT,20.2,2900.0,4,2
10240,59,M,78.0,192,180,127,53,43.2,453.0,Cardio,28.1,2700.0,3,1
10241,56,M,89.0,168,176,152,65,106.2,1332.0,Yoga,10.5,3500.0,5,3
10242,31,F,42.7,176,182,121,65,87.6,883.0,Strength,34.9,2200.0,3,1
10243,48,M,83.9,182,176,149,70,114.0,1401.0,HIIT,13.1,3500.0,5,3
10244,22,F,78.7,152,173,166,74,87.0,1204.0,Strength,31.5,2300.0,3,2
10245,52,F,65.9,152,188,139,53,76.2,794.0,Cardio,27.0,2300.0,4,2
10246,40,M,76.9,192,179,137,68,67.8,851.0,Yoga,22.4,3700.0,4,2
10247,46,M,84.3,200,189,162,66,109.8,1467.0,HIIT,13.3,3500.0,5,3
10248,28,F,62.4,160,178,129,62,66.0,710.0,Strength,34.1,1700.0,3,2
10249,35,M,63.7,174,198,143,71,61.8,810.0,HIIT,29.8,2700.0,4,2
10250,29,F,54.9,152,172,123,72,88.8,910.0,Strength,27.0,2000.0,3,1
10251,26,M,76.4,179,177,156,73,70.2,1004.0,Strength,21.3,2700.0,3,2
10252,27,M,106.4,186,182,123,50,80.4,907.0,Cardio,20.6,3100.0,2,1
10253,34,F,68.4,150,192,132,61,82.2,904.0,Cardio,33.7,2100.0,4,2
10254,55,M,63.5,186,198,144,53,81.6,969.0,Strength,22.9,2900.0,4,2
10255,24,F,59.4,150,199,132,60,75.0,825.0,Yoga,25.0,2000.0,3,2
10256,30,M,113.4,191,177,137,54,76.2,957.0,HIIT,22.2,3700.0,3,1
10257,57,F,61.9,152,168,143,51,55.2,592.0,HIIT,28.4,2600.0,3,1
10258,59,F,70.7,168,192,121,66,70.2,637.0,Cardio,34.9,1900.0,3,2
10259,26,M,111.5,190,191,167,57,61.2,937.0,Yoga,25.2,2200.0,2,1
10260,44,F,72.1,166,176,152,55,84.0,958.0,Strength,27.0,2500.0,2,1
10261,19,M,56.9,187,178,138,70,36.6,463.0,Cardio,23.3,3700.0,3,1
10262,22,M,86.2,190,186,128,58,114.6,1345.0,Strength,11.7,3500.0,5,3
10263,46,M,59.4,168,165,147,62,69.6,844.0,Strength,20.2,2500.0,4,2
10264,54,F,75.6,172,194,154,60,58.2,672.0,Cardio,26.4,1900.0,3,1
10265,55,F,76.3,173,196,158,65,64.8,768.0,Yoga,32.0,2600.0,3,1
10266,36,M,95.8,186,193,129,65,82.2,972.0,HIIT,21.2,3200.0,3,1
10267,25,M,120.6,183,179,120,51,62.4,686.0,Cardio,22.3,2500.0,3,2
10268,18,F,65.3,155,184,161,59,85.2,1143.0,Yoga,28.5,2200.0,3,2
10269,39,M,85.3,189,163,140,61,46.2,593.0,Strength,27.6,3600.0,2,1
10270,34,M,68.0,168,169,128,57,40.2,472.0,Cardio,25.8,3400.0,2,1
10271,24,F,52.6,157,169,166,60,77.4,1071.0,HIIT,31.9,2400.0,2,1
10272,42,M,63.3,177,183,134,59,79.2,876.0,HIIT,25.7,3300.0,3,2
10273,21,F,76.3,165,180,154,62,68.4,878.0,Strength,31.8,1700.0,3,2
10274,53,M,61.0,163,170,124,74,32.4,331.0,Cardio,20.0,3400.0,3,1
10275,23,F,67.8,161,186,160,66,80.4,1072.0,HIIT,34.3,1800.0,2,1
10276,48,M,114.9,186,175,141,56,81.6,949.0,Cardio,21.1,3600.0,3,1
10277,36,M,88.0,171,185,160,73,112.2,1646.0,HIIT,12.0,3500.0,5,3
10278,56,F,67.7,158,189,142,52,87.0,927.0,Strength,32.7,1900.0,2,1
10279,44,M,124.8,185,175,126,69,81.0,842.0,Strength,24.4,3500.0,4,2
10280,27,F,53.0,158,166,142,62,75.6,895.0,Cardio,34.5,1800.0,4,2
10281,43,M,61.2,188,175,163,68,61.8,831.0,Yoga,24.7,2900.0,3,1
10282,36,F,48.7,168,194,144,56,73.8,886.0,Yoga,33.7,1600.0,3,1
10283,56,F,50.6,170,175,146,58,77.4,848.0,Strength,33.1,2300.0,2,1
10284,20,F,72.6,173,199,160,68,76.2,1016.0,HIIT,34.8,2500.0,3,2
10285,30,F,70.4,156,171,125,62,61.8,644.0,Yoga,34.3,2400.0,4,2
10286,45,M,52.5,188,194,153,71,64.8,818.0,Strength,29.0,2900.0,4,2
10287,37,M,76.3,177,180,128,57,81.6,957.0,HIIT,27.3,2100.0,4,2
10288,45,F,41.2,158,195,168,71,88.2,1111.0,HIIT,28.7,2600.0,2,1
10289,25,F,55.3,176,176,152,67,93.6,1186.0,Yoga,15.5,2700.0,4,3
10290,58,F,49.7,167,191,125,72,82.8,776.0,Strength,31.9,2300.0,4,2
10291,56,M,48.3,187,165,156,51,40.8,525.0,HIIT,29.8,3300.0,3,1
10292,18,M,83.2,196,183,150,67,109.8,1510.0,HIIT,13.6,3500.0,4,3
10293,20,M,120.5,173,186,153,67,60.6,850.0,Cardio,29.3,3400.0,3,2
10294,30,M,121.6,200,179,160,60,74.4,1091.0,Cardio,28.0,3300.0,4,2
10295,45,F,73.0,175,184,148,50,68.4,759.0,Yoga,26.6,2000.0,4,2
10296,42,F,57.5,167,161,133,63,105.6,1053.0,Cardio,16.2,2700.0,5,3
10297,50,F,42.7,153,168,155,65,84.6,983.0,Strength,28.4,2400.0,4,2
10298,55,M,129.9,173,187,155,60,41.4,529.0,Yoga,21.7,3100.0,3,1
10299,23,M,108.6,192,197,134,50,53.4,656.0,Yoga,25.8,3500.0,2,1
10300,49,M,88.6,200,162,127,56,109.8,1150.0,Cardio,14.9,3500.0,4,3
10301,38,F,49.7,151,179,145,65,75.0,906.0,HIIT,32.6,2500.0,3,1
10302,33,F,56.4,154,165,155,63,63.6,822.0,Strength,29.2,1500.0,3,1
10303,38,M,46.9,174,198,167,64,61.8,946.0,Strength,20.0,2600.0,4,2
10304,28,F,71.3,167,192,140,63,87.6,1022.0,Strength,28.1,1500.0,4,2
10305,54,M,71.6,186,160,147,70,68.4,830.0,Yoga,25.3,2200.0,3,2
10306,53,M,82.3,161,196,123,60,112.2,1139.0,Strength,11.6,3500.0,5,3
10307,52,F,70.6,169,165,135,65,81.6,826.0,HIIT,26.1,2200.0,3,1
10308,36,M,109.8,162,193,141,68,50.4,651.0,HIIT,24.4,3500.0,3,1
10309,37,F,73.5,169,174,131,66,32.4,354.0,Cardio,27.5,1600.0,2,1
10310,35,M,85.6,185,185,135,55,106.8,1322.0,Strength,14.5,3500.0,5,3
10311,58,F,74.6,168,173,159,60,61.8,737.0,Yoga,26.0,2000.0,4,2
10312,31,F,63.2,180,166,157,66,35.4,463.0,Cardio,25.5,2600.0,2,1
10313,32,F,62.6,163,190,161,58,100.2,1344.0,HIIT,15.0,2700.0,5,3
10314,48,M,87.1,176,183,156,67,108.6,1398.0,Strength,11.6,3500.0,5,3
10315,18,M,82.3,184,190,148,66,103.8,1408.0,HIIT,13.3,3500.0,5,3
10316,20,F,64.3,178,188,137,61,102.6,1171.0,Cardio,18.7,2700.0,4,3
10317,33,F,53.7,166,191,129,72,75.0,806.0,HIIT,29.5,2500.0,3,1
